Date,Close,High,Low,Open,Volume,returns,volatility_20,volatility_60
2010-01-04,1.4423978328704834,1.4451910257339478,1.4262080192565918,1.4310041666030884,0,0.0023627630442169213,,
2010-01-05,1.4365959167480469,1.4483097791671753,1.4351937770843506,1.442710041999817,0,-0.0040305221069684306,,
2010-01-06,1.4404033422470093,1.4434596300125122,1.4291226863861084,1.4365959167480469,0,0.002646804798315725,,
2010-01-07,1.4318032264709473,1.444481372833252,1.430206060409546,1.4402996301651,0,-0.005988525735909824,,
2010-01-08,1.44110906124115,1.4436055421829224,1.4271035194396973,1.4320902824401855,0,0.006478351153559585,,
2010-01-11,1.4511260986328125,1.4554345607757568,1.4464871883392334,1.4464871883392334,0,0.006926876198316234,,
2010-01-12,1.447659969329834,1.454376220703125,1.4459643363952637,1.450894474983215,0,-0.0023914361899113113,,
2010-01-13,1.4523905515670776,1.4577046632766724,1.4458597898483276,1.4478065967559814,0,0.0032624165675256152,,
2010-01-14,1.4499897956848145,1.4552016258239746,1.4462571144104004,1.4524117708206177,0,-0.0016543361948232623,,
2010-01-15,1.4390974044799805,1.4504104852676392,1.434576153755188,1.4499057531356812,0,-0.007540404328297255,,
2010-01-18,1.4406731128692627,1.4406731128692627,1.4336917400360107,1.437235951423645,0,0.0010943292439722868,,
2010-01-19,1.4281021356582642,1.4413999319076538,1.4256997108459473,1.4405070543289185,0,-0.008764058934729351,,
2010-01-20,1.4110342264175415,1.4290001392364502,1.4087086915969849,1.4284082651138306,0,-0.012023455501879625,,
2010-01-21,1.409701585769653,1.414027214050293,1.4030951261520386,1.411113977432251,0,-0.0009448887352589319,,
2010-01-22,1.414107084274292,1.4181982278823853,1.4089070558547974,1.409840703010559,0,0.0031202553669439537,,
2010-01-25,1.4150075912475586,1.4194263219833374,1.413107991218567,1.4154081344604492,0,0.0006365998603516985,,
2010-01-26,1.4082324504852295,1.417896747589111,1.404415488243103,1.4148073196411133,0,-0.00479955913635074,,
2010-01-27,1.4030951261520386,1.4097412824630735,1.4001679420471191,1.408093810081482,0,-0.003654736000310232,,
2010-01-28,1.3968042135238647,1.404968023300171,1.3949919939041138,1.4029968976974487,0,-0.004493678129876433,,
2010-01-29,1.386693239212036,1.398699164390564,1.386481761932373,1.3967065811157229,0,-0.007264974338785467,0.08184397941814608,
2010-02-01,1.3926994800567627,1.3937088251113892,1.385578989982605,1.387597680091858,0,0.004321987427387519,0.08346138021113285,
2010-02-02,1.3976240158081057,1.3976240158081057,1.3889081478118896,1.3921760320663452,0,0.0035297275541919383,0.08502509964540166,
2010-02-03,1.3901052474975586,1.4024064540863037,1.3886189460754397,1.3975849151611328,0,-0.005394201396022321,0.08477076590577802,
2010-02-04,1.3744947910308838,1.390607833862305,1.372005581855774,1.3901824951171875,0,-0.011293223003581414,0.09018447335257467,
2010-02-05,1.368007779121399,1.374608278274536,1.3588064908981323,1.3744759559631348,0,-0.004730733220285858,0.08475151069229218,
2010-02-08,1.3654673099517822,1.3714035749435425,1.3625277280807495,1.364498496055603,0,-0.0018587840154328738,0.07703548092365746,
2010-02-09,1.378207802772522,1.3839489221572876,1.365094542503357,1.3656724691390991,0,0.009287239831575736,0.08862610424900262,
2010-02-10,1.3753266334533691,1.3811010122299194,1.3681387901306152,1.378207802772522,0,-0.002092706982513662,0.08604239800473898,
2010-02-11,1.3681762218475342,1.3799575567245483,1.360007643699646,1.375005125999451,0,-0.005212626465916843,0.08638100250876862,
2010-02-12,1.363493800163269,1.3689440488815308,1.3533082008361816,1.3689440488815308,0,-0.003428251752621481,0.08466988471090181,
2010-02-15,1.3603036403656006,1.3631964921951294,1.3583080768585205,1.36280620098114,0,-0.0023424364887807947,0.08349886021080026,
2010-02-16,1.3767088651657104,1.377771019935608,1.359194278717041,1.359730243682861,0,0.011987830695040481,0.09567494263003218,
2010-02-17,1.360692262649536,1.378872990608215,1.3592311143875122,1.3765382766723633,0,-0.01170218360079305,0.09522681593816854,
2010-02-18,1.3461486101150513,1.3653181791305542,1.3450260162353516,1.36106276512146,0,-0.010745953065451137,0.10025923919628667,
2010-02-19,1.3615074157714844,1.3620080947875977,1.345695734024048,1.3470553159713743,0,0.011344846050983796,0.10994624765048913,
2010-02-22,1.3605626821517944,1.3652995824813845,1.357717990875244,1.3628991842269895,0,-0.0006941288237528771,0.10964084959171735,
2010-02-23,1.3527040481567385,1.3692628145217896,1.3497827053070068,1.360618233680725,0,-0.005792763300923249,0.11003775826857409,
2010-02-24,1.354316234588623,1.3621937036514282,1.3502929210662842,1.352685809135437,0,0.0011911152884733632,0.1104217256500265,
2010-02-25,1.3536012172698977,1.356999397277832,1.3452069759368896,1.3544628620147705,0,-0.0005280938935947858,0.11002049147150562,
2010-02-26,1.3631035089492798,1.3678580522537231,1.3536012172698977,1.353747844696045,0,0.006995482680619629,0.11186115907192953,
2010-03-01,1.356208086013794,1.365392804145813,1.3462574481964111,1.3642936944961548,0,-0.005071458325896351,0.11105860590185511,
2010-03-02,1.3620638847351074,1.3623050451278689,1.3445197343826294,1.355968952178955,0,0.004308478211709109,0.11154368747850296,
2010-03-03,1.3701633214950562,1.3733999729156494,1.359841227531433,1.3620080947875977,0,0.005928833785702982,0.11324447354823729,
2010-03-04,1.3584003448486328,1.3711966276168823,1.3557482957839966,1.3701257705688477,0,-0.008622155066121798,0.11029610779523831,
2010-03-05,1.3628991842269895,1.3628991842269895,1.3536561727523804,1.3583080768585205,0,0.0033063934556413514,0.10998235610925222,
2010-03-08,1.3616927862167358,1.370369791984558,1.36104416847229,1.3641074895858765,0,-0.0008855623903915136,0.10984031970098308,
2010-03-09,1.360692262649536,1.3635867834091189,1.3538578748703003,1.3618227243423462,0,-0.0007350346069989022,0.10404167290856,
2010-03-10,1.3643310070037842,1.367671012878418,1.354866623878479,1.3609329462051392,0,0.0026706168401981092,0.10453199977530511,
2010-03-11,1.3685319423675537,1.3687942028045654,1.3623050451278689,1.364926815032959,0,0.003074386641760194,0.10360794195848459,
2010-03-12,1.376993179321289,1.379405498504639,1.367353081703186,1.3684945106506348,0,0.006163676066468489,0.10496801017031683,
2010-03-15,1.3677457571029663,1.3773914575576782,1.3645915985107422,1.3773914575576782,0,-0.006738314588262822,0.1076677539415184,
2010-03-16,1.3768794536590576,1.3782837390899658,1.3661015033721924,1.3673717975616455,0,0.006655721326007922,0.10145734396315109,
2010-03-17,1.3738338947296145,1.3816543817520142,1.3730982542037964,1.3768984079360962,0,-0.0022143784452942263,0.09209289390339803,
2010-03-18,1.361396312713623,1.374003767967224,1.3591018915176392,1.373494267463684,0,-0.009094421161701699,0.08957479708325465,
2010-03-19,1.353692889213562,1.36280620098114,1.3504936695098877,1.3612295389175415,0,-0.005674542232874572,0.08249750224528843,
2010-03-22,1.356704831123352,1.3569073677062988,1.3468738794326782,1.3514060974121094,0,0.002222510096576412,0.08295533250799174,
2010-03-23,1.3468012809753418,1.3569073677062988,1.3464930057525637,1.356704831123352,0,-0.007326482010404814,0.0845051608450296,
2010-03-24,1.3331022262573242,1.3485448360443115,1.3307960033416748,1.3470009565353394,0,-0.010223632308132048,0.09141110249867981,
