Date,Close,High,Low,Open,Volume,returns,volatility_20,volatility_60,rsi_14,atr_14,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_position,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,momentum_5,momentum_10,momentum_20,high_20,low_20,price_position,trend_20_50,trend_50_200,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,regime,sentiment_score,sentiment_uncertainty
2010-10-08,1.3927963972091677,1.397506833076477,1.3850990533828735,1.3922922611236572,0,0.0005707906624242,0.1030203897852475,0.1133291121105976,83.34838308144506,0.0187321220125471,1.338109844923019,0.0363881977992045,1.4108862405214284,1.2653334493246102,0.108774919898442,0.8757162733636663,1.338109844923019,1.3080787587165832,1.3171156018972396,1.3632636463434291,1.3372020667757931,0.0260615795676357,0.0208684186058911,0.0051931609617446,0.0224517844258349,0.0457115269966339,0.0972867573106366,1.4023081064224243,1.2716983556747437,0.9271745856736848,0.0229581636475015,-0.0068610858208947,0.006203002282841,0.0116219409932479,-0.0074940847141416,-0.0004358874551977,-0.0053820340597241,2,0.149,0.149
2010-10-11,1.3977607488632202,1.4006190299987793,1.3886960744857788,1.3987383842468262,0,0.0035579682702955,0.1025951387263745,0.1134197635139871,83.67639149716554,0.0188340033803667,1.344412964582443,0.0351770528748914,1.414767070332226,1.27405885883266,0.104661450913089,0.8791376758487319,1.344412964582443,1.3096821236610412,1.3168924164772031,1.3685708928849354,1.3416878959369225,0.0268829969480128,0.0220713342743154,0.0048116626736973,0.0145646634612055,0.0369847099312483,0.0991291626870034,1.4023081064224243,1.283285140991211,0.9617942844666212,0.0265185271249761,-0.0054752330000125,0.0005707906624242,0.006203002282841,0.0116219409932479,0.0113018040028747,0.0119383244495183,2,-0.0415,0.0415
2010-10-12,1.3880213499069214,1.3881947994232178,1.3780179023742676,1.3880984783172607,0,-0.0069922472699756,0.1066793921553896,0.1142556181052073,74.74264079507817,0.017600451196943,1.349454027414322,0.0337414381089293,1.4169369036321804,1.281971151196463,0.1000150799463127,0.7857563626073866,1.349454027414322,1.3109924221038818,1.3166495436429977,1.371563270888318,1.345120004246486,0.0264432666418317,0.0229457207478187,0.0034975458940129,0.01507393777463,0.0328266404671628,0.0783260171940312,1.4023081064224243,1.2959243059158323,0.8657055261471162,0.0293377785118824,-0.0042966038809867,0.0035579682702955,0.0005707906624242,0.006203002282841,-0.0074940847141416,-0.0029744172808687,2,0.1752,0.1943
2010-10-13,1.3916915655136108,1.3999327421188354,1.391207575798035,1.3916915655136108,0,0.0026407171180504,0.104732174134624,0.1119684573289775,72.62731380564303,0.0173438021114894,1.354079920053482,0.0328145749014623,1.4197090698564068,1.2884507702505574,0.0969354154521876,0.7865467979782714,1.354079920053482,1.312376124858856,1.3164059847593308,1.3746599315999013,1.3485697500914648,0.0260901815084364,0.0235746128999422,0.0025155686084941,0.0059981483441087,0.025495715123599,0.0712128423448188,1.4023081064224243,1.2978922128677368,0.8983244739149496,0.0317773193253658,-0.0030612591762194,-0.0069922472699756,0.0035579682702955,0.0005707906624242,0.0116219409932479,0.0097639515536169,2,0.4516,0.4569
2010-10-14,1.3967260122299194,1.4118908643722534,1.3967065811157229,1.3969016075134275,0,0.0036109743582841,0.1045520637722796,0.1104577136146028,78.41234040418398,0.0173330988202776,1.3588408648967742,0.0316731562104526,1.4221871773176795,1.295494552475869,0.093235807160859,0.7990319869088583,1.3588408648967742,1.3139945077896118,1.3162305986881255,1.3780547132352887,1.3521368811620815,0.0259178320732069,0.0240432567345952,0.0018745753386117,0.0033939495875465,0.0248896807369669,0.0731604888992165,1.4118908643722534,1.302592158317566,0.8612531411419796,0.0341297903768278,-0.0016988595317131,0.0026407171180504,-0.0069922472699756,0.0035579682702955,0.006203002282841,0.0042021163021388,2,-0.0752,0.0702
2010-10-15,1.4072020053863523,1.4148073196411133,1.3993059396743774,1.4070039987564087,0,0.0074724043100158,0.1054267244618879,0.1111668381536119,77.31442328602522,0.0173065321786063,1.3638209760189055,0.0310158779000121,1.42585273181893,1.3017892202188814,0.0909675930943657,0.8496679145057313,1.3638209760189055,1.3157759308815002,1.3160610634088517,1.38253891202776,1.3562157798264527,0.0263231322013073,0.0244992318279376,0.0018239003733696,0.010342939001027,0.0330269408636425,0.0761717948731972,1.4148073196411133,1.3031013011932373,0.93191670099396,0.0365146101321505,-0.0002166560012138,0.0036109743582841,0.0026407171180504,-0.0069922472699756,0.0005707906624242,-0.0004358874551977,2,0.0213,0.0702
2010-10-18,1.3964334726333618,1.397409200668335,1.3837957382202148,1.397096872329712,0,-0.0076818729058569,0.1109426949976614,0.1121728895364414,72.77812986889468,0.017577588558197,1.3684229910373689,0.0284568456179616,1.425336682273292,1.3115092998014457,0.0831814309006577,0.7460785883653345,1.3684229910373689,1.3171332359313963,1.3157876002788544,1.3846765367363143,1.3591948685704829,0.0254816681658316,0.0246957190955164,0.0007859490703151,-0.0009495732591846,0.0136012599870691,0.0705617771745186,1.4148073196411133,1.305943250656128,0.8312221178294777,0.03894044558803,0.001022684552018,0.0074724043100158,0.0036109743582841,0.0026407171180504,0.0035579682702955,0.0113018040028747,2,0.4964,0.4738
2010-10-19,1.3935922384262085,1.3994038105010986,1.377353549003601,1.3937865495681765,0,-0.002036708965121,0.1124993290915575,0.1123079721727431,67.38810937035049,0.0177002889769418,1.3727678954601288,0.0249541964552653,1.4226762883706594,1.3228595025495982,0.072712063088862,0.7086256614534847,1.3727678954601288,1.3185451531410215,1.3155172616243362,1.386048183150144,1.3617428222003665,0.0243053609497776,0.0246176474663686,-0.000312286516591,0.0040135467078086,0.0191479844357678,0.0665022403728738,1.4148073196411133,1.3252054452896118,0.7632294930385094,0.0411231592561986,0.0023016737256238,-0.0076818729058569,0.0074724043100158,0.0036109743582841,-0.0069922472699756,-0.0074940847141416,2,0.2153,0.2302
2010-10-20,1.3739094734191897,1.398308038711548,1.3704450130462646,1.374003767967224,0,-0.0142244514593835,0.1203230945370006,0.1166442456074246,54.66810874962808,0.0188913856233869,1.3751785039901734,0.0223618193553118,1.4199021427007972,1.3304548652795496,0.0650441212989515,0.4858125299330546,1.3751785039901734,1.3196534252166747,1.3151248562335969,1.384180689345382,1.3626440557246058,0.021536633620776,0.0240014446972501,-0.0024648110764741,-0.0127773226015482,-0.006855814533844,0.0363674049109077,1.4148073196411133,1.3288507461547852,0.5242033905827035,0.0420755008189988,0.0034434517465111,-0.002036708965121,-0.0076818729058569,0.0074724043100158,0.0026407171180504,0.0116219409932479,2,-0.3005,0.1408
2010-10-21,1.3963165283203125,1.4051061868667605,1.387905836105347,1.3963944911956787,0,0.0161774119235089,0.1276398139209622,0.1202318625071054,62.11603633027941,0.0200126596859523,1.3780393123626709,0.0211292607082131,1.4202978337790972,1.3357807909462445,0.0613313728241518,0.7162547971985725,1.3780393123626709,1.321891634464264,1.3148564898967745,1.3860477414953711,1.365138313211773,0.0209094282835982,0.0233830414145197,-0.0024736131309215,-0.000293174112905,0.003099780456482,0.0427273183712408,1.4148073196411133,1.3288507461547852,0.7848821728132073,0.0424752501903549,0.0053505037405578,-0.0142244514593835,-0.002036708965121,-0.0076818729058569,0.0036109743582841,0.006203002282841,2,0.1622,0.1628
